bits_per_key,k,mean,ci95_half,seed_count
4.0,1,0.220498125,0.0009835954211161234,8
4.0,2,0.154551875,0.001175483422425781,8
4.0,3,0.147120625,0.0005770683237283192,8
4.0,4,0.16065812499999998,0.0012965891291844614,8
4.0,5,0.18543437499999998,0.0019188617726612004,8
4.0,6,0.21932749999999998,0.0022787064399417433,8
4.0,7,0.26239250000000003,0.0025889675749332848,8
4.0,8,0.311989375,0.0031883082181223214,8
4.0,9,0.365173125,0.0043515637204398555,8
4.0,10,0.42338000000000003,0.004692243031007359,8
4.0,11,0.48136937500000004,0.00526316572942244,8
4.0,12,0.54033,0.0047012673828823485,8
4.0,13,0.598326875,0.004083628732158989,8
4.0,14,0.651054375,0.004628587725870601,8
4.0,15,0.7001025,0.004866501513091914,8
4.0,16,0.7422975,0.004840093391608769,8
8.0,1,0.11696999999999999,0.0008018581944340817,8
8.0,2,0.048553124999999996,0.0004639455446814713,8
8.0,3,0.030516875,0.00032313307511808875,8
8.0,4,0.0239275,0.0005908181628650189,8
8.0,5,0.021480625000000003,0.00038822244341537,8
8.0,6,0.021440624999999998,0.00019566203638877178,8
8.0,7,0.022813125,0.000276094361094108,8
8.0,8,0.0254275,0.00032168575374336665,8
8.0,9,0.029104375000000002,0.00034411636041039516,8
8.0,10,0.03394124999999999,0.00038770329401336274,8
8.0,11,0.040182499999999996,0.0004351268901124869,8
8.0,12,0.047878125,0.00043245651979043694,8
8.0,13,0.05737125,0.0009384517714804665,8
8.0,14,0.06861125,0.0011118982846748794,8
8.0,15,0.08192875,0.0013825123308461055,8
8.0,16,0.09730749999999999,0.001734213083974849,8
10.0,1,0.09502000000000001,0.000675153909375667,8
10.0,2,0.032963125,0.00023688364455129693,8
10.0,3,0.017439999999999997,0.00024650974923757753,8
10.0,4,0.011758125000000001,0.0002477817231550383,8
10.0,5,0.009431249999999999,0.00012918291401004605,8
10.0,6,0.0084225,0.00016158609011823684,8
10.0,7,0.008206875,0.0001601731792748868,8
10.0,8,0.008480625,0.00022987250021191158,8
10.0,9,0.00905625,0.00022952814819664297,8
10.0,10,0.01017625,0.00019612475036849254,8
10.0,11,0.011621875,0.00013731659543830395,8
10.0,12,0.013513124999999999,0.00015921970087177565,8
10.0,13,0.015809999999999998,0.00019126955981675674,8
10.0,14,0.0188625,0.00019626788276186106,8
10.0,15,0.02234,0.0003057074695561146,8
10.0,16,0.027139375,0.00030508167605076806,8
16.0,1,0.060145624999999994,0.0004528669821931152,8
16.0,2,0.013678125000000001,0.00023066925481934932,8
16.0,3,0.005006874999999999,0.00019107288407160992,8
16.0,4,0.00241625,9.934110850628341e-05,8
16.0,5,0.0013974999999999999,5.3297797356022e-05,8
16.0,6,0.000925,2.7727677139413294e-05,8
16.0,7,0.0006850000000000001,5.16325716738172e-05,8
16.0,8,0.0005581249999999999,1.5470017988998508e-05,8
16.0,9,0.00049625,2.093035963421346e-05,8
16.0,10,0.00045687500000000003,2.8079912987750007e-05,8
16.0,11,0.000444375,4.835918302532584e-05,8
16.0,12,0.000425625,5.7983146122151045e-05,8
16.0,13,0.000468125,4.332224484872809e-05,8
16.0,14,0.000505625,5.724661600150102e-05,8
16.0,15,0.0005656249999999999,4.265448054981709e-05,8
16.0,16,0.00064625,3.628685774945234e-05,8
