n,k,absent_fraction,early_speedup,early_ci95,full_speedup,full_ci95,full_over_early,ratio_ci95
20000,1,0,0.7546892579866968,0.0038837276415572856,0.7651864705645013,0.006145471985497575,1.013909219773451,0.006200470852973645
20000,1,0.5,0.9593166403057038,0.017380310984088793,0.9667944862202305,0.015165966390996403,1.0078352234969932,0.01367705581219318
20000,1,0.9,1.5522682519566011,0.022913002509349578,1.5191789790349008,0.016317067422037642,0.9787018076659275,0.00484963273739487
20000,1,1,2.7542820951870945,0.0295758728753188,2.69154744213194,0.0240410752026663,0.9772289113786864,0.0024324749444134134
20000,7,0,0.39491916212291955,0.003800966367117878,0.4048001940686274,0.004033513696702509,1.025025236006814,0.006360637703180849
20000,7,0.5,0.7541048465562148,0.006202734946005081,0.6554480006966831,0.0038708030333908985,0.8691799813048623,0.003577012803126687
20000,7,0.9,0.6819575976693114,0.00727074888630689,0.9973245089827221,0.011120307264676332,1.4624498716219274,0.009245611434959944
20000,7,1,0.6979859668487508,0.004120409210981368,1.2174552406437584,0.008824582828980947,1.7442372175772822,0.00420147050940083
200000,1,0,0.7451970296669813,0.00887092414397764,0.7608654751932907,0.00686833134123876,1.0210457200334566,0.008559876658458192
200000,1,0.5,0.9451859118306056,0.01258954946911319,0.9542922607895706,0.011939525126391164,1.0096523361089473,0.010095778675603396
200000,1,0.9,1.5289841931390218,0.010254646341573317,1.5110883538481532,0.0024535659538201774,0.9883097126543098,0.007269680407250545
200000,1,1,2.7260798843745446,0.05484471531973564,2.6585320528603495,0.07147008482714444,0.9751957185079095,0.01139613607170246
200000,7,0,0.38707866222302867,0.005093516693401939,0.39861556921743174,0.0018127543135616293,1.0298401758142188,0.009049774093407091
200000,7,0.5,0.7320036650615401,0.005656558605060492,0.6289936460202485,0.0035155844406556903,0.8592873300962125,0.006413359757449228
200000,7,0.9,0.6760429908784487,0.016073163608245854,1.0112878295180883,0.027972227726367014,1.495919825217163,0.026552086103957397
200000,7,1,0.7074230711422123,0.04094836674163504,1.2819240442305306,0.0983479146311035,1.8115424255341077,0.03367990552639682
