load,mean,ci95_half,seed_count
0.25,1.8750000000000003e-06,3.110097353179739e-06,8
0.5,0.00019250000000000002,1.4821066855252672e-05,8
1.0,0.008206875,0.0001601731792748868,8
1.5,0.048745625,0.0003418310506055368,8
2.0,0.13840687499999998,0.001060643224227948,8
3.0,0.401823125,0.0014172552713484646,8
