n,k,negative_fraction,mean,ci95_half,seed_count
20000,1,0.0,0.7212912785473712,0.10412226336363123,4
20000,1,0.5,0.9675757882789182,0.016204107511095394,4
20000,1,0.9,1.5934045633016702,0.15760194143845171,4
20000,1,1.0,2.8703050457957673,0.35726584988318055,4
20000,3,0.0,0.5774904305726587,0.03296946625467001,4
20000,3,0.5,0.96550232443967,0.2131014416208314,4
20000,3,0.9,1.0845680436043064,0.1254005272999292,4
20000,3,1.0,1.7113093942191087,0.31720936623917023,4
20000,7,0.0,0.38456065233206593,0.03836972175986781,4
20000,7,0.5,0.7365061615619292,0.08229401805187535,4
20000,7,0.9,0.7337271342109379,0.1469390345798288,4
20000,7,1.0,0.7133262424824532,0.021001124458471337,4
20000,11,0.0,0.29617230236461317,0.028991677203601213,4
20000,11,0.5,0.6374335578530328,0.010777770729031919,4
20000,11,0.9,0.6421762514820611,0.017564010524428193,4
20000,11,1.0,0.6399154114170574,0.013472135694797884,4
200000,1,0.0,0.7363368137033914,0.06089779932098724,4
200000,1,0.5,0.9473886415973181,0.01039442738642068,4
200000,1,0.9,1.5569328048239208,0.06896712273891399,4
200000,1,1.0,2.7088187396574352,0.06201826150004771,4
200000,3,0.0,0.5559872296356427,0.016660784108850267,4
200000,3,0.5,0.8247846163170779,0.11757524577004091,4
200000,3,0.9,1.0541493035567455,0.08725324828549519,4
200000,3,1.0,1.8080669966026404,0.2825215842038751,4
200000,7,0.0,0.38530812145255355,0.013694276422337648,4
200000,7,0.5,0.7266640656462003,0.01021474366866458,4
200000,7,0.9,0.6801783565750202,0.008666476509071364,4
200000,7,1.0,0.9048963037890947,0.43989316584239985,4
200000,11,0.0,0.29134491750277547,0.025084382007504836,4
200000,11,0.5,0.6313496722049285,0.10422983674119683,4
200000,11,0.9,0.714005565127831,0.29969382732787336,4
200000,11,1.0,0.6985331285595436,0.18408513215690372,4
