seed,n,k,negative_fraction,bloom,filtered_set,set,speedup,backend_fraction,extra_backend_ns_break_even
2,200000,7,1.0,40.75854,42.956665,31.153335,0.7252270398551656,0.00824,11.901397515527954
2,200000,11,0.0,38.51875,67.729375,20.430625,0.301650871575295,1.0,inf
2,200000,11,0.5,42.33958,57.882915,36.17646,0.6249937481552199,0.5057,43.913524175601864
2,200000,11,0.9,45.181665,51.24708,31.434375,0.6133886067264711,0.110335,22.26984876329854
2,200000,11,1.0,45.56604,47.85271,31.181875,0.6516219248606819,0.01146,16.86409755801485
3,20000,1,0.0,3.608335,24.500205,18.58833,0.7587009986242972,1.0,inf
3,20000,1,0.5,18.4825,34.392085,32.79021,0.9534231495415297,0.54824,3.5458539932707622
3,20000,1,0.9,9.729375,19.06729,29.19,1.530894007486119,0.186915,-12.449756175553603
3,20000,1,1.0,6.433955,10.249165,27.815,2.713879618485994,0.096395,-19.439727535814875
3,20000,3,0.0,10.35167,33.4375,19.127915,0.5720497943925235,1.0,inf
3,20000,3,0.5,23.69979,37.349165,33.29854,0.8915471068764189,0.5087,8.244707917769178
3,20000,3,0.9,23.65771,28.311455,29.269375,1.0338350678197217,0.11552,-1.0830318379160653
3,20000,3,1.0,15.755,17.381045,27.871875,1.6035787836692212,0.01727,-10.675190540636796
3,20000,7,0.0,23.70021,47.727915,18.46229,0.38682372779116786,1.0,inf
3,20000,7,0.5,31.09396,44.159165,34.09021,0.7719849322332069,0.5039,20.296220520056448
3,20000,7,0.9,38.26271,43.22479,29.997085,0.6939787330372224,0.10736,14.818633491665173
3,20000,7,1.0,38.917085,40.42375,28.355,0.7014440768112805,0.0082,12.168531962089128
3,20000,11,0.0,37.854375,61.818125,19.15292,0.3098269318262241,1.0,inf
3,20000,11,0.5,39.82979,52.779375,34.03771,0.6449055147015287,0.505675,37.91364992666769
3,20000,11,0.9,40.7225,45.967085,29.08625,0.6327625517258708,0.110555,18.97906559708582
3,20000,11,1.0,41.332085,44.013125,27.626665,0.6276915124749719,0.01168,16.58011575198317
3,200000,1,0.0,3.73083,27.19146,20.35854,0.7487108084670703,1.0,inf
3,200000,1,0.5,20.096665,37.903125,35.975,0.949130183856872,0.548135,4.267037721443355
3,200000,1,0.9,10.37875,20.85604,31.98646,1.5336784931367604,0.186555,-13.683064005556616
3,200000,1,1.0,6.95333,11.18833,30.213125,2.7004141815623957,0.09583,-21.041170355132333
3,200000,3,0.0,10.709585,37.27271,20.33208,0.5454950820586967,1.0,inf
3,200000,3,0.5,25.47604,41.56229,35.93771,0.8646710756312995,0.508745,11.449410184120252
3,200000,3,0.9,25.083125,31.04646,32.15875,1.0358266288652553,0.115835,-1.2580117964407074
3,200000,3,1.0,19.14521,19.60104,38.11375,1.9444759053601237,0.017705,-18.846385250866593
3,200000,7,0.0,24.909585,53.82229,20.73479,0.3852454066893103,1.0,inf
3,200000,7,0.5,33.940625,50.337915,36.516665,0.7254306222258113,0.504065,27.869075584502
