n,negative_fraction,method,mean,ci95_half,seed_count,mean_probes
20000,0,early_exit,24.39322875,1.1115571355787,4,7.0
20000,0,full_scan,23.90791625,4.4451688806161185,4,7.0
20000,1,early_exit,38.490468750000005,0.20332389753315375,4,2.00186875
20000,1,full_scan,22.84333375,0.7001415658361723,4,7.0
200000,0,early_exit,24.632083749999996,0.6185136357705239,4,7.0
200000,0,full_scan,23.2578125,0.23438422679307408,4,7.0
200000,1,early_exit,41.6883325,1.9628958079908607,4,1.99606875
200000,1,full_scan,23.57755125,0.4992101441585126,4,7.0
