seed,n,k,negative_fraction,repeat,method,ns_per_query,mean_probes,returned_positive
2,200000,7,1,2,full_scan,23.459375,7,1648
2,200000,7,1,3,early_exit,41.02083,1.99865,1648
2,200000,7,1,3,full_scan,23.26646,7,1648
2,200000,7,1,4,early_exit,41.154165,1.99865,1648
2,200000,7,1,4,full_scan,23.76021,7,1648
2,200000,7,1,5,full_scan,23.51958,7,1648
2,200000,7,1,5,early_exit,40.52625,1.99865,1648
2,200000,7,1,6,early_exit,41.341875,1.99865,1648
2,200000,7,1,6,full_scan,23.44729,7,1648
3,20000,7,0,0,full_scan,22.550625,7,200000
3,20000,7,0,0,early_exit,24.16271,7,200000
3,20000,7,0,1,full_scan,22.70875,7,200000
3,20000,7,0,1,early_exit,23.872915,7,200000
3,20000,7,0,2,early_exit,23.78208,7,200000
3,20000,7,0,2,full_scan,22.2425,7,200000
3,20000,7,0,3,full_scan,22.509165,7,200000
3,20000,7,0,3,early_exit,23.592915,7,200000
3,20000,7,0,4,early_exit,24.069375,7,200000
3,20000,7,0,4,full_scan,22.35917,7,200000
3,20000,7,0,5,early_exit,24.031455,7,200000
3,20000,7,0,5,full_scan,22.6625,7,200000
3,20000,7,0,6,early_exit,23.844585,7,200000
3,20000,7,0,6,full_scan,22.27354,7,200000
3,20000,7,1,0,early_exit,38.764375,2.00034,1640
3,20000,7,1,0,full_scan,22.407085,7,1640
3,20000,7,1,1,full_scan,22.31375,7,1640
3,20000,7,1,1,early_exit,39.082085,2.00034,1640
3,20000,7,1,2,full_scan,22.804795,7,1640
3,20000,7,1,2,early_exit,38.05396,2.00034,1640
3,20000,7,1,3,early_exit,38.304795,2.00034,1640
3,20000,7,1,3,full_scan,22.38917,7,1640
3,20000,7,1,4,full_scan,22.418545,7,1640
3,20000,7,1,4,early_exit,37.651665,2.00034,1640
3,20000,7,1,5,full_scan,22.263125,7,1640
3,20000,7,1,5,early_exit,38.319795,2.00034,1640
3,20000,7,1,6,early_exit,38.32625,2.00034,1640
3,20000,7,1,6,full_scan,22.28208,7,1640
3,200000,7,0,0,early_exit,25.114375,7,200000
3,200000,7,0,0,full_scan,23.41354,7,200000
3,200000,7,0,1,early_exit,24.57521,7,200000
3,200000,7,0,1,full_scan,23.003955,7,200000
3,200000,7,0,2,full_scan,23.42979,7,200000
3,200000,7,0,2,early_exit,25.034375,7,200000
3,200000,7,0,3,early_exit,24.725415,7,200000
3,200000,7,0,3,full_scan,23.11771,7,200000
3,200000,7,0,4,early_exit,25.272705,7,200000
3,200000,7,0,4,full_scan,23.07167,7,200000
3,200000,7,0,5,full_scan,23.05625,7,200000
3,200000,7,0,5,early_exit,25.103125,7,200000
3,200000,7,0,6,early_exit,26.07979,7,200000
3,200000,7,0,6,full_scan,24.12208,7,200000
3,200000,7,1,0,early_exit,41.32104,1.99226,1562
3,200000,7,1,0,full_scan,23.02708,7,1562
3,200000,7,1,1,early_exit,45.60875,1.99226,1562
3,200000,7,1,1,full_scan,23.282915,7,1562
3,200000,7,1,2,early_exit,48.175625,1.99226,1562
3,200000,7,1,2,full_scan,23.459165,7,1562
3,200000,7,1,3,early_exit,43.534165,1.99226,1562
3,200000,7,1,3,full_scan,24.057915,7,1562
3,200000,7,1,4,early_exit,42.312295,1.99226,1562
3,200000,7,1,4,full_scan,24.01625,7,1562
3,200000,7,1,5,full_scan,25.30375,7,1562
3,200000,7,1,5,early_exit,49.979375,1.99226,1562
3,200000,7,1,6,full_scan,25.65458,7,1562
3,200000,7,1,6,early_exit,41.65375,1.99226,1562
4,20000,7,0,0,early_exit,32.348125,7,200000
4,20000,7,0,0,full_scan,28.88271,7,200000
4,20000,7,0,1,full_scan,28.07125,7,200000
4,20000,7,0,1,early_exit,25.19771,7,200000
4,20000,7,0,2,full_scan,22.40896,7,200000
4,20000,7,0,2,early_exit,24.26125,7,200000
4,20000,7,0,3,full_scan,28.09625,7,200000
4,20000,7,0,3,early_exit,23.649165,7,200000
4,20000,7,0,4,early_exit,23.66271,7,200000
4,20000,7,0,4,full_scan,22.78979,7,200000
