seed,n,k,negative_fraction,repeat,method,ns_per_query,returned_positive,expected_positive,backend_calls
1,20000,7,0,3,early_exit,48.858545,200000,200000,200000
1,20000,7,0,3,full_scan,47.13042,200000,200000,200000
1,20000,7,0,3,set,19.04479,200000,200000,200000
1,20000,7,0,4,set,18.59,200000,200000,200000
1,20000,7,0,4,early_exit,47.90875,200000,200000,200000
1,20000,7,0,4,full_scan,47.4175,200000,200000,200000
1,20000,7,0,5,full_scan,47.09604,200000,200000,200000
1,20000,7,0,5,early_exit,48.453125,200000,200000,200000
1,20000,7,0,5,set,19.054375,200000,200000,200000
1,20000,7,0,6,full_scan,47.031045,200000,200000,200000
1,20000,7,0,6,set,19.546665,200000,200000,200000
1,20000,7,0,6,early_exit,48.024375,200000,200000,200000
1,20000,7,0.5,0,full_scan,50.888335,100000,100000,100816
1,20000,7,0.5,0,set,33.635625,100000,100000,200000
1,20000,7,0.5,0,early_exit,44.062705,100000,100000,100816
1,20000,7,0.5,1,full_scan,51.50292,100000,100000,100816
1,20000,7,0.5,1,early_exit,44.536875,100000,100000,100816
1,20000,7,0.5,1,set,33.183955,100000,100000,200000
1,20000,7,0.5,2,early_exit,44.025,100000,100000,100816
1,20000,7,0.5,2,full_scan,52.076455,100000,100000,100816
1,20000,7,0.5,2,set,33.90229,100000,100000,200000
1,20000,7,0.5,3,set,34.31646,100000,100000,200000
1,20000,7,0.5,3,full_scan,51.441875,100000,100000,100816
1,20000,7,0.5,3,early_exit,44.821875,100000,100000,100816
1,20000,7,0.5,4,set,34.308335,100000,100000,200000
1,20000,7,0.5,4,early_exit,44.589585,100000,100000,100816
1,20000,7,0.5,4,full_scan,51.105,100000,100000,100816
1,20000,7,0.5,5,full_scan,50.7775,100000,100000,100816
1,20000,7,0.5,5,early_exit,43.850625,100000,100000,100816
1,20000,7,0.5,5,set,33.56771,100000,100000,200000
1,20000,7,0.5,6,set,33.088125,100000,100000,200000
1,20000,7,0.5,6,full_scan,51.13708,100000,100000,100816
1,20000,7,0.5,6,early_exit,44.56229,100000,100000,100816
1,20000,7,0.9,0,early_exit,42.90646,20000,20000,21497
1,20000,7,0.9,0,full_scan,29.0625,20000,20000,21497
1,20000,7,0.9,0,set,29.31354,20000,20000,200000
1,20000,7,0.9,1,set,28.66833,20000,20000,200000
1,20000,7,0.9,1,full_scan,28.913545,20000,20000,21497
1,20000,7,0.9,1,early_exit,42.97125,20000,20000,21497
1,20000,7,0.9,2,early_exit,42.60521,20000,20000,21497
1,20000,7,0.9,2,full_scan,29.04604,20000,20000,21497
1,20000,7,0.9,2,set,29.209795,20000,20000,200000
1,20000,7,0.9,3,full_scan,29.065625,20000,20000,21497
1,20000,7,0.9,3,set,29.10354,20000,20000,200000
1,20000,7,0.9,3,early_exit,42.68021,20000,20000,21497
1,20000,7,0.9,4,early_exit,42.728125,20000,20000,21497
1,20000,7,0.9,4,full_scan,29.417295,20000,20000,21497
1,20000,7,0.9,4,set,29.073125,20000,20000,200000
1,20000,7,0.9,5,early_exit,42.410625,20000,20000,21497
1,20000,7,0.9,5,set,29.111665,20000,20000,200000
1,20000,7,0.9,5,full_scan,29.02542,20000,20000,21497
1,20000,7,0.9,6,early_exit,42.80083,20000,20000,21497
1,20000,7,0.9,6,full_scan,29.05104,20000,20000,21497
1,20000,7,0.9,6,set,29.17146,20000,20000,200000
1,20000,7,1,0,early_exit,40.196875,0,0,1672
