n,k,negative_fraction,method,mean,ci95_half,seed_count
2000,1,0.0,bloom,3.728125,1.310327363441249,2
2000,1,0.0,filtered_set,18.604149999999997,6.7768542961589455,2
2000,1,0.0,set,14.933325,0.37070352318447497,2
2000,1,0.5,bloom,20.683325,56.78053476066908,2
2000,1,0.5,filtered_set,37.321875,139.6758144609427,2
2000,1,0.5,set,35.604175,103.79349228534907,2
2000,1,0.9,bloom,9.3448,1.0457206498057205,2
2000,1,0.9,filtered_set,14.985425,12.918080700379459,2
2000,1,0.9,set,24.673949999999998,4.169541084249648,2
2000,1,1.0,bloom,6.27915,0.7414070463689443,2
2000,1,1.0,filtered_set,8.6927,2.8455545507167836,2
2000,1,1.0,set,23.2031,3.6663753766882294,2
2000,3,0.0,bloom,10.38645,0.38372738303928844,2
2000,3,0.0,filtered_set,24.936425,8.457567527666232,2
2000,3,0.0,set,14.7854,2.196902798923552,2
2000,3,0.5,bloom,23.177075000000002,2.753116911259475,2
2000,3,0.5,filtered_set,31.534375,2.5809478370812498,2
2000,3,0.5,set,27.4625,6.7501712662125,2
2000,3,0.9,bloom,31.99895,106.24229559317176,2
2000,3,0.9,filtered_set,35.190625,102.05973064906733,2
2000,3,0.9,set,35.181225,133.3621013274255,2
2000,3,1.0,bloom,15.361425,2.5809478370812498,2
2000,3,1.0,filtered_set,16.329175,4.155881914158038,2
2000,3,1.0,set,23.129175,5.347088608195538,2
2000,7,0.0,bloom,23.884375,4.619023076799823,2
2000,7,0.0,filtered_set,38.068749999999994,9.00044012502893,2
2000,7,0.0,set,15.264575,2.5676063221080274,2
2000,7,0.5,bloom,30.22605,1.9720029750892882,2
2000,7,0.5,filtered_set,38.7823,8.801588020904306,2
2000,7,0.5,set,26.9646,6.644074456663559,2
2000,7,0.9,bloom,38.775000000000006,35.28640117345645,2
2000,7,0.9,filtered_set,44.06665,51.72505355117393,2
2000,7,0.9,set,29.56145,62.93573799009967,2
2000,7,1.0,bloom,39.66145,32.97006005001071,2
2000,7,1.0,filtered_set,42.771874999999994,63.67682738135019,2
2000,7,1.0,set,23.80625,11.197342923952496,2
2000,11,0.0,bloom,37.791650000000004,11.832653160772526,2
2000,11,0.0,filtered_set,51.89065,24.84317150060925,2
2000,11,0.0,set,15.473975,2.342706498273752,2
2000,11,0.5,bloom,38.429199999999994,1.032379134832509,2
2000,11,0.5,filtered_set,46.54375,5.744475161326413,2
2000,11,0.5,set,26.939575,0.34402049323802947,2
2000,11,0.9,bloom,39.933324999999996,3.7588130161454933,2
2000,11,0.9,filtered_set,43.2125,0.979648385176459,2
2000,11,0.9,set,23.706225,3.4678409276819795,2
2000,11,1.0,bloom,40.891675,4.923336680236615,2
2000,11,1.0,filtered_set,43.010425,6.485564552576987,2
2000,11,1.0,set,22.766675,4.02373738489947,2
20000,1,0.0,bloom,3.670825,0.07973143472090756,2
20000,1,0.0,filtered_set,24.548975,0.7544309062237635,2
20000,1,0.0,set,18.7177,1.8398584458307206,2
20000,1,0.5,bloom,16.358325,0.34402049323802947,2
20000,1,0.5,filtered_set,32.130225,3.586643941967313,2
20000,1,0.5,set,32.398975,0.01302385985479093,2
20000,1,0.9,bloom,9.6479,3.732447641317491,2
20000,1,0.9,filtered_set,17.743725,1.2442550988119705,2
20000,1,0.9,set,29.513550000000002,11.210684438925707,2
20000,1,1.0,bloom,6.145825,0.0530484047744705,2
20000,1,1.0,filtered_set,8.934375,0.6750171266212567,2
20000,1,1.0,set,26.8479,1.350034253242491,2
20000,3,0.0,bloom,10.223975,0.039706889801247744,2
20000,3,0.0,filtered_set,32.7552,6.578002192034297,2
20000,3,0.0,set,18.365650000000002,1.125134429408216,2
20000,3,0.5,bloom,22.978125,7.795574260899821,2
20000,3,0.5,filtered_set,36.363550000000004,13.301490428300372,2
20000,3,0.5,set,32.7604,2.382413388075,2
20000,3,0.9,bloom,22.39375,0.6880409864760589,2
20000,3,0.9,filtered_set,27.088525,1.6807132315073088,2
20000,3,0.9,set,28.994775,0.754430906223741,2
20000,3,1.0,bloom,15.275,1.9059307104600045,2
20000,3,1.0,filtered_set,16.682275,1.78681004105625,2
20000,3,1.0,set,28.05,7.70313662144249,2
20000,7,0.0,bloom,23.554175,0.47680033273341604,2
20000,7,0.0,filtered_set,47.355199999999996,1.4161065178717975,2
20000,7,0.0,set,18.609375,3.6400100018601815,2
20000,7,0.5,bloom,30.932299999999998,7.319409238403224,2
20000,7,0.5,filtered_set,45.05415,7.9941087099060955,2
20000,7,0.5,set,33.22815,6.60468522198072,2
20000,7,0.9,bloom,35.318749999999994,2.144172049267491,2
20000,7,0.9,filtered_set,39.85835,1.2973035035864409,2
20000,7,0.9,set,28.960425,5.638060696659097,2
20000,7,1.0,bloom,37.685424999999995,0.42343427284054747,2
20000,7,1.0,filtered_set,39.229150000000004,15.856072890553532,2
20000,7,1.0,set,28.066650000000003,9.609067331902494,2
20000,11,0.0,bloom,37.483325,6.06181262461802,2
20000,11,0.0,filtered_set,62.03855,3.4808647875367704,2
20000,11,0.0,set,18.8625,2.3296826384189493,2
20000,11,0.5,bloom,38.3198,2.872237580663229,2
20000,11,0.5,filtered_set,51.72395,2.9249683303192793,2
20000,11,0.5,set,32.922925000000006,2.2232681737515883,2
20000,11,0.9,bloom,39.997925,1.5885932471684203,2
20000,11,0.9,filtered_set,45.452075,10.218012193894479,2
20000,11,0.9,set,28.728125,1.177547523945868,2
20000,11,1.0,bloom,39.9875,3.838544450866432,2
20000,11,1.0,filtered_set,43.429175,14.559087042085558,2
20000,11,1.0,set,27.375,0.926282325283568,2
