n,k,negative_fraction,mean,ci95_half,seed_count
2000,1,0.0,0.8033030969759747,0.2726899385714987,2
2000,1,0.5,0.9740077132017715,0.864153484982966,2
2000,1,0.9,1.6526511221017453,1.1464165668063047,2
2000,1,1.0,2.6701798081589683,0.45230675482307925,2
2000,3,0.0,0.5931613599308281,0.11307953956887419,2
2000,3,0.5,0.8708026519784282,0.14278624659801115,2
2000,3,0.9,0.9828611098443922,0.9392149525978438,2
2000,3,1.0,1.4164846486553424,0.03304847457594762,2
2000,7,0.0,0.40121157502421145,0.16230338743935604,2
2000,7,0.5,0.6952620776586145,0.013528441648753093,2
2000,7,0.9,0.6661361816218436,0.6462893894438371,2
2000,7,1.0,0.5618861846262739,0.5747184724181535,2
2000,11,0.0,0.29876156890181294,0.18818209816783132,2
2000,11,0.5,0.5788613945062628,0.07883497560531874,2
2000,11,0.9,0.5486094861991966,0.09268811859831101,2
2000,11,1.0,0.5293163966236872,0.013736709782782026,2
20000,1,0.0,0.7624823323846615,0.09837879923016253,2
20000,1,0.5,1.0084419518491257,0.11216536322327532,2
20000,1,0.9,1.663099462562919,0.5151885780917104,2
20000,1,1.0,3.0051885085529104,0.37815605067406355,2
20000,3,0.0,0.5607915392980487,0.07827012338097894,2
20000,3,0.5,0.9018089766907278,0.39539090269465116,2
20000,3,0.9,1.0704073520366424,0.094264220953132,2
20000,3,1.0,1.6812384710119286,0.28168117598039366,2
20000,7,0.0,0.39296220597727255,0.06511499604475297,2
20000,7,0.5,0.7374985601285144,0.01573754157861538,2
20000,7,0.9,0.7266169239306359,0.16510225279871177,2
20000,7,1.0,0.7155647931298873,0.04427779306660651,2
20000,11,0.0,0.3040638033320356,0.05461261787391756,2
20000,11,0.5,0.6365097479956021,0.006988973559152946,2
20000,11,0.9,0.6322149329062512,0.11621982868004117,2
20000,11,1.0,0.6308200375972064,0.23280309056188553,2
